word,topic_0,topic_1,topic_2,topic_3
Free reed aerophone,0.00012561171024572104,6.177538125484716e-06,6.603273050131975e-06,4.848657226830255e-06
Autumn,0.00019415532005950809,6.183785899338545e-06,6.611962817260064e-06,4.857080057263374e-06
Flowering plant,6.754149126209086e-06,6.204218607308576e-06,6.631640189880272e-06,0.00021553349506575614
Seabird,1.719498322927393e-05,0.0009181001223623753,6.709620265610283e-06,0.002377393888309598
Space,0.006584486924111843,0.0006808534963056445,0.0003437003178987652,4.242766590323299e-05
Finger,0.0020935465581715107,6.537000444950536e-06,7.723093403910752e-06,0.0007107699639163911
Coastal and oceanic landforms,0.003385404124855995,0.0012070246739313006,0.0009985946817323565,1.3528726412914693e-05
Elder,6.7414976001600735e-06,6.203100383572746e-06,1.0070296411868185e-05,0.00020722435147035867
Sunglasses,6.7227888393972535e-06,6.184493486216525e-06,6.6086090555472765e-06,9.058575233211741e-05
Motor vehicle,6.744108304701513e-06,7.195859325292986e-06,1.195023378386395e-05,0.0026228423230350018
Automotive tire,6.729498636559583e-06,6.1957807702128775e-06,1.6622156181256287e-05,0.0004402345803100616
Antler,6.718808435834944e-06,0.0007971808663569391,6.618953193537891e-06,5.050949766882695e-06
Tiger,6.802761618018849e-06,0.0004936269833706319,6.69712198941852e-06,0.00015653710579499602
Bald eagle,6.7634505285241175e-06,6.217444934009109e-06,6.6625689214561135e-06,0.00032305612694472075
Media,6.784044671803713e-06,6.237256911845179e-06,0.0008951212512329221,1.0532184205658268e-05
Manatee,6.74367083774996e-06,7.779072802804876e-06,0.0001849915279308334,4.865183655056171e-06
Tufted capuchin,0.00019410219101700932,6.196442882355768e-06,6.614245648961514e-06,4.855635324929608e-06
Golden eagle,6.8099407144472934e-06,1.5479432477150112e-05,6.716265488648787e-06,0.0005750259733758867
Reindeer,6.725187176925829e-06,0.00044567929580807686,6.6229563344677445e-06,5.053676886745961e-06
Island,6.733562258887105e-06,0.0005626365309581161,1.5954621630953625e-05,4.853875907429028e-06
Rock,0.02468179166316986,0.0011417989153414965,0.0034372361842542887,0.0017927412409335375
Font,0.0014434729237109423,1.2927027455589268e-05,6.7454589043336455e-06,2.4571834728703834e-05
Facade,6.7341079557081684e-06,6.202248641784536e-06,0.0011895429342985153,5.132516434969148e-06
Stone wall,6.7462437982612755e-06,1.2737236829707399e-05,0.0004191334010101855,4.858766715187812e-06
Winter storm,5.5466291087213904e-05,6.317921361187473e-06,6.786619906051783e-06,0.000636461132671684
Macro photography,6.991700956859859e-06,6.2373160290007945e-06,6.6613429225981236e-06,0.0012154292780905962
New World porcupine,1.695368337095715e-05,0.00038468590355478227,6.653926902799867e-06,4.8698721002438106e-06
Lens flare,6.743297944922233e-06,6.19862385065062e-06,7.0528708420170005e-06,0.00021442883007694036
All-terrain vehicle,0.0007791777024976909,8.787528349785134e-05,6.700565336359432e-06,4.89348485643859e-06
Calm,6.946506800886709e-06,0.0001789094676496461,0.006462830118834972,5.067503479949664e-06
Meadow,0.0011803561355918646,6.372479219862726e-06,4.1479190258542076e-05,4.8625306590110995e-06
Heat,0.00011004300904460251,4.4405460357666016e-05,0.0024899612180888653,0.00044300287845544517
Collection,0.00044633433572016656,6.321525688690599e-06,6.813331765442854e-06,4.9224859139940236e-06
Rein,0.0002998033305630088,6.290571946010459e-06,1.583240918989759e-05,0.00033020571572706103
Classical architecture,5.983596565783955e-05,6.208639661053894e-06,0.0003388092736713588,4.86136650579283e-06
Star,0.005344605538994074,0.0008207783102989197,7.522333817178151e-06,6.37637003819691e-06
Stalactite,8.881684152584057e-06,6.192703040142078e-06,6.6177412918477785e-06,0.00013490622222889215
Bull shark,6.718725217069732e-06,0.00011550955241546035,6.605401722481474e-06,4.8505626182304695e-06
Carnival,0.0008941443520598114,4.455736780073494e-05,6.7469004534359556e-06,4.906270078208763e-06
Flightless bird,2.3098164092516527e-05,0.00015708533464930952,6.688160738121951e-06,0.001199060119688511
Ancient history,0.0028030008543282747,6.297925210674293e-06,0.00013405464414972812,1.6804768165457062e-05
Festival,0.0022856206633150578,2.2157684725243598e-05,6.679472789983265e-06,9.059399417310487e-06
Design,0.002996640047058463,3.496050703688525e-05,8.303808499476872e-06,0.00048791628796607256
Sculptor,6.745896371285198e-06,6.201349606271833e-06,0.00019066875393036753,4.867401912633795e-06
Dirt road,6.722256784996716e-06,0.0001155196878244169,6.603921519854339e-06,4.846798674407182e-06
Painted Bunting,6.733196187269641e-06,6.198612027219497e-06,6.639398634433746e-06,0.00021558611479122192
Attalea speciosa,0.0011161519214510918,6.201255018822849e-06,6.61673129798146e-06,8.204890946217347e-06
Oryx,6.734994258295046e-06,1.1497163541207556e-05,0.0001740501611493528,4.861626166530186e-06
Explosion,1.3003700587432832e-05,6.238089554244652e-06,0.0006970483809709549,4.011702912976034e-05
Caving,0.0034512535203248262,9.763342859514523e-06,6.919187399034854e-06,4.96337452204898e-06
Purple,6.746366125298664e-06,6.456936716858763e-06,6.872069207020104e-06,0.000656355288811028
Face,4.9745794967748225e-05,6.2934104789746925e-06,0.005635593552142382,5.335588411981007e-06
Rifle,6.729152119078208e-06,6.192000455484958e-06,0.0002926872402895242,4.852547590417089e-06
Narrows,0.0013884126674383879,6.2753465499554295e-06,2.764664895948954e-05,4.914980763714993e-06
Head restraint,6.726277661073254e-06,6.188440693222219e-06,6.615595793846296e-06,0.00046235203626565635
Wagon,6.7239302552479785e-06,6.183809546200791e-06,6.611382559640333e-06,9.057659190148115e-05
Friendship,6.757183655281551e-06,9.42384394875262e-06,0.0004291448858566582,4.862632522417698e-06
Snout,0.007915793918073177,0.005065704230219126,0.00028399971779435873,0.005384179297834635
Orangutan,0.000528364151250571,6.2512986005458515e-06,9.69244592852192e-06,0.00023241160670295358
Penguin,4.646463639801368e-05,0.0003014492685906589,6.707815828121966e-06,0.0003002771991305053
Bonfire,0.00030161463655531406,0.0001146067152149044,0.00029253598768264055,4.921739673591219e-06
Horse,0.0008611286175437272,0.00015500890731345862,0.004682464525103569,0.0007145848940126598
Cash crop,6.7332666731090285e-06,6.202017630130285e-06,6.693935574730858e-06,0.00021611186093650758
