word,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
date palm,2.8395936624292517e-06,2.6623133635439444e-06,0.00019273186626378447,0.0005480953259393573,2.4449172997265123e-06,2.1580640350293834e-06
felidae,0.00019222008995711803,0.0008174384711310267,0.005989431869238615,0.00012726934801321477,0.004501566290855408,2.2011172404745594e-06
bony-fish,2.8386784833855927e-06,2.6618588435667334e-06,1.0418383453725255e-06,2.9641394121426856e-06,0.003346846904605627,0.002955035772174597
umbrella,2.8403328542481177e-06,2.6643858745956095e-06,1.04358355201839e-06,0.000547499512322247,2.4446142106171465e-06,2.1571340766968206e-06
rabbits and hares,2.8357696919556474e-06,2.68400026470772e-06,1.0402280850030365e-06,2.957475771836471e-06,2.4389928512391634e-06,0.0006316006183624268
outdoor recreation,0.0008322737412527204,2.6567688564682612e-06,1.0402935686215642e-06,2.9566183457063744e-06,2.439104491713806e-06,2.152481556549901e-06
public space,2.841419473043061e-06,2.663715122253052e-06,0.0014274787390604615,2.962362032121746e-06,0.0006508274818770587,9.735774256114382e-06
waste,0.002001951914280653,2.67204518422659e-06,1.0657386155799031e-06,2.9768932563456474e-06,0.0006313404301181436,9.207898256136104e-05
sand,2.8900460620207014e-06,0.0007836852455511689,0.003891262225806713,0.0007901176577433944,0.0011135025415569544,0.002951215486973524
stock photography,2.8823060347349383e-06,0.0008021971443668008,0.0003721977409441024,2.994707074321923e-06,0.0011789633426815271,0.007931227795779705
table,2.855553475455963e-06,2.6691111543186707e-06,1.0469977951288456e-06,0.0014274419518187642,0.00045110812061466277,2.1669961824954953e-06
cowboy,2.8380206913425354e-06,2.660262680365122e-06,1.0409852393422625e-06,0.0008680472383275628,0.0007157556246966124,2.1548867152887397e-06
advertising,2.839542048604926e-06,2.6599227567203343e-06,0.0014277707086876035,2.958575805678265e-06,2.4416435735474806e-06,2.155924676117138e-06
pattern,0.0005264066276140511,2.678791361176991e-06,1.051961135090096e-06,0.000865400128532201,2.465508032400976e-06,2.1837463464180473e-06
skyline,2.835028681147378e-06,2.656459855643334e-06,1.0550334081926849e-06,2.9583331979665672e-06,2.438818228256423e-06,0.0006314879865385592
room,6.479949661297724e-05,0.0002873131597880274,0.004673896357417107,0.007811024785041809,0.01182811614125967,0.004482768010348082
wedding dress,2.8386675694491714e-06,2.6582870304991957e-06,1.0413824611532618e-06,1.5785008145030588e-05,2.441117430862505e-06,0.000337281177053228
château,2.837495685525937e-06,2.657835693753441e-06,1.0407886747998418e-06,2.9584405183413764e-06,2.438629962853156e-06,0.0003988982643932104
building,1.5416173482662998e-05,0.00011803347297245637,4.48311839136295e-05,0.010384420864284039,0.0003086297365371138,0.0013660292606800795
cool,2.878635996239609e-06,2.665120291567291e-06,0.0007473314180970192,2.964521172543755e-06,2.447161477903137e-06,2.1598596049443586e-06
protest,2.836700105035561e-06,2.656948709045537e-06,1.040762867887679e-06,2.9580312457255786e-06,0.00045178382424637675,2.1541818568948656e-06
